CrashId,VehicleId,PersonId,Age,Gender,Gender Text Format,State,Postal Code,Person Type,Person Type Text Format,Injury Status,Injury Status Text Format,Condition at Time of Crash,Condition at Time of Crash Text Format,Condition at Time of Crash2,Condition at Time of Crash2 Text Format,Action Taken by Officer,Action Taken by Officer Text Format,Alcohol Test Status,Alcohol Test Status Text Format,Type Of Alcohol Test,Type Of Alcohol Test Text Format,Drug Test Status,Drug Test Status Text Format,Type Of Drig Test,Type Of Drig Test Text Format,Ejection Status,Ejection Status Text Format,Restraint System,Restraint System Text Format,Helmet Use,Helmet Use Text Format,Air Bag Status,Air Bag Status Text Format,Speeding Related,Speeding Related Text Format,Driver Actions 1,Driver Actions 1 Text Format,Driver Actions 2,Driver Actions 2 Text Format,Driver Actions 3,Driver Actions 3 Text Format,Driver Actions 4,Driver Actions 4 Text Format,Driver Distracted By,Driver Distracted By Text Format,Roadway On Which Nonmotorist Was Traveling/Located,Direction nonmotorist was traveling,Direction Unknown,Striking Motor Vehicle ID,Bicycle ID,Non-Motorist Not In Roadway,Actions or Circumstances Prior to Crash,Actions or Circumstances Prior to Crash Text Format,To or From School,To or From School Text Format,Actions or Circumstances At Time Of Crash,Actions or Circumstances At Time Of Crash Text Format,Actions or Circumstances At Time Of Crash2,Actions or Circumstances At Time Of Crash2 Text Format,Location At Time Of Crash,Location At Time Of Crash Text Format,Safety Equipment,Safety Equipment Text Format,Safety Equipment2,Safety Equipment2 Text Format,Non-motorist Distracted By,Non-motorist Distracted By Text Format,Seating Position,Seating Position Text Format,Seating Position for Bus,City,Country,Driver License Jurisdiction,Driver License Jurisdiction Text Format,Drivers License Issued By,Drivers License Class,Commercial License Class,Commercial License Class Text Format,Transported to First Medical Facility By,Transported to First Medical Facility By Text Format,Name of the EMS agency,Name of the Intended Receiving Facility
1120523,1,3,69,1,Male,CT,6787,2,Passenger,K,Fatal Injury (K),,,,,,,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,2,Deployed-Front,,,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,13,"First Row, Right Seat",,Thomaston,,2,State,CT,,,,1,Not Transported,Bristol Hospital EMS,NEW BRITAIN
1120633,1,1,41,1,Male,CT,6460,1,Driver,K,Fatal Injury (K),6,Under the Influence of Medications/Drugs/Alcohol,6,Under the Influence of Medications/Drugs/Alcohol,4,Arrest/Summons,2,Test Refused,3,Breath,2,Test Refused,2,Urine,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,2,Deployed-Front,1,No,2,Ran Off Roadway,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Milford,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1122370,1,1,78,2,Female,CT,6254,1,Driver,K,Fatal Injury (K),2,Physically Impaired,88,Not Applicable,0,None taken,3,Test Given,1,Blood,3,Test Given,1,Blood,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,6,Deployed-Combination,1,No,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,North Franklin,,2,State,CT,4,1,No,3,EMS Ground,,L&M
1124976,,2,64,2,Female,CT,6484,3,Pedestrian,K,Fatal Injury (K),99,Unknown,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,Howe Avenue,S,FALSE,1,,FALSE,1,Crossing Roadway,1,No,99,Unknown,,,5,Travel Lane-Other Location,0,None,,,99,Unknown if Distracted,,,,Shelton,,88,Not applicable,CT,,,,3,EMS Ground,Echo Hose Ambulance,BRIDGEPORT HOSPITAL
1126594,1,1,75,1,Male,CT,6804,1,Driver,K,Fatal Injury (K),97,Other,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,0,None Used-Motor Vehicle Occupant,88,Not Applicable,88,Not applicable,99,Unknown,12,Followed Too Closely,16,"Swerved or Avoided Due to Wind, Slippery Surface, Motor Vehicle, Object, Non-Motorist in Roadway, etc.",13,Failed to Keep in Proper Lane,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Brookfield,,2,State,CT,1,,,3,EMS Ground,NVAC,DANBURY
1126931,1,1,49,1,Male,CT,6512,1,Driver,K,Fatal Injury (K),99,Unknown,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,2,Deployed-Front,1,No,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1126932,,2,70,1,Male,CT,,3,Pedestrian,K,Fatal Injury (K),97,Other,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,ELLA T GRASSO BLVD,,TRUE,1,,FALSE,99,Unknown,1,No,99,Unknown,88,Not Applicable,2,Intersection-Unmarked Crosswalk,99,Unknown,88,Not Applicable,99,Unknown if Distracted,,,,New Haven,UnitedStates,88,Not applicable,,,,,1,Not Transported,,
1127377,1,1,77,1,Male,CT,6120,1,Driver,K,Fatal Injury (K),97,Other,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Hartford,,2,State,CT,4,1,No,3,EMS Ground,East Windsor,St. Francis
1130292,1,1,41,1,Male,CT,6854,1,Driver,K,Fatal Injury (K),99,Unknown,88,Not Applicable,0,None taken,3,Test Given,1,Blood,3,Test Given,1,Blood,1,Not Ejected,88,Not Applicable,1,No Helmet,88,Not applicable,99,Unknown,2,Ran Off Roadway,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Norwalk        ,,2,State,CT,0,1,No,3,EMS Ground,Norwalk EMS,Norwalk Hospital
1132188,1,1,52,1,Male,CT,6410,1,Driver,K,Fatal Injury (K),99,Unknown,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,3,Deployed-Side,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Cheshire,,2,State,CT,4,1,No,3,EMS Ground,Trinity,ST. MARY'S
1132219,1,2,1,1,Male,,,2,Passenger,K,Fatal Injury (K),,,,,,,,,,,,,,,1,Not Ejected,5,"Child Restraint System, Forward Facing",88,Not Applicable,6,Deployed-Combination,,,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,23,"Second Row, Right Seat",,,,,,CT,,,,3,EMS Ground,AMR,Bridgeport Hospital
1132260,1,4,14,1,Male,CT,6120,2,Passenger,K,Fatal Injury (K),,,,,,,,,,,,,,,1,Not Ejected,0,None Used-Motor Vehicle Occupant,88,Not Applicable,6,Deployed-Combination,,,88,Not Applicable,88,Not Applicable,88,Not Applicable,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,23,"Second Row, Right Seat",,Hartford,UnitedStates,,,CT,,,,3,EMS Ground,Aetna,CCMC
1133272,,3,29,1,Male,CT,6704,3,Pedestrian,K,Fatal Injury (K),99,Unknown,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,,,,,,,,,,,,,,,,,,,,,Leavenworth Rd,W,FALSE,1,,FALSE,7,"Adjacent to Roadway (e.g., Shoulder, Median)",1,No,99,Unknown,88,Not Applicable,7,Shoulder/Roadside,3,Reflective Clothing,88,Not Applicable,99,Unknown if Distracted,,,,Waterbury,,2,State,CT,,,,97,Other,,
1133914,3,3,44,2,Female,CT,6106,1,Driver,K,Fatal Injury (K),99,Unknown,88,Not Applicable,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,99,Unknown,11,Wrong Side or Wrong Way,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Hartford,,2,State,CT,0,1,No,1,Not Transported,,
